Outbound Flight Date,Return Flight Date,Price,Outbound Flight Airlines,Outbound Flight Departure Time,Outbound Flight Arrival Time,Outbound Flight Arrival + Days,Outbound Flight Duration,Outbound Flight Stops,Outbound Flight Connecting Airports,Outbound Flight Departure Airport,Outbound Flight Arrival Airport,Return Flight Airlines,Return Flight Departure Time,Return Flight Arrival Time,Return Flight Arrival + Days,Return Flight Duration,Return Flight Stops,Return Flight Connecting Airports,Return Flight Departure Airport,Return Flight Arrival Airport
2024-05-03,2024-05-10,1181,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,813,Turkish Airlines,20:35,07:55,2,1760,2,"IST, KIX",VNO,HND,ANA (All Nippon Airways) + Turkish Airlines,20:35,07:55,1,1355,2,"KIX, IST",HND,VNO
2024-05-03,2024-05-10,1261,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,995,1,HEL,NRT,VNO
2024-05-03,2024-05-10,1266,Finnair,13:30,13:05,1,1055,1,HEL,VNO,NRT,Finnair,13:30,13:05,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,970,Turkish Airlines,20:35,07:55,2,1760,2,"IST, KIX",VNO,HND,Turkish Airlines,20:35,07:55,1,1125,2,IST,HND,VNO
2024-05-03,2024-05-10,1346,Finnair,13:30,13:05,1,1055,1,HEL,VNO,NRT,Finnair,13:30,13:05,1,995,1,HEL,NRT,VNO
2024-05-03,2024-05-10,1211,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,1195,1,HEL,NRT,VNO
2024-05-03,2024-05-10,1253,LOT,19:15,18:30,1,1035,1,WAW,VNO,NRT,LOT,19:15,18:30,1,1100,1,WAW,NRT,VNO
2024-05-03,2024-05-10,1181,Finnair,10:10,13:50,1,1300,1,HEL,VNO,HND,Finnair,10:10,13:50,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,817,Turkish Airlines,20:35,07:55,2,1760,2,"IST, KIX",VNO,HND,Japan Airlines + Turkish Airlines,20:35,07:55,1,1680,2,"KIX, IST",HND,VNO
2024-05-03,2024-05-10,1179,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,1198,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,1201,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,1255,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,995,1,HEL,NRT,VNO
2024-05-03,2024-05-10,1299,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,995,1,HEL,NRT,VNO
2024-05-03,2024-05-10,1313,Finnair + Japan Airlines,13:30,13:05,1,1055,1,HEL,VNO,NRT,Japan Airlines + Finnair,13:30,13:05,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,1208,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,1195,1,HEL,NRT,VNO
2024-05-03,2024-05-10,1197,Finnair + Japan Airlines,10:10,13:50,1,1300,1,HEL,VNO,HND,Japan Airlines + Finnair,10:10,13:50,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,1255,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,0,1125,1,HEL,HND,VNO
2024-05-03,2024-05-10,1236,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,1195,1,HEL,NRT,VNO
2024-05-03,2024-05-10,1274,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,0,1125,1,HEL,HND,VNO
2024-05-03,2024-05-10,1179,Turkish Airlines,20:35,19:20,1,1005,1,IST,VNO,HND,ANA (All Nippon Airways) + Turkish Airlines,20:35,19:20,1,1355,1,"KIX, IST",HND,VNO
2024-05-03,2024-05-10,1290,LOT + Asiana Airlines,11:00,11:20,1,1100,2,"WAW, ICN",VNO,NRT,LOT,11:00,11:20,1,1100,2,WAW,NRT,VNO
2024-05-03,2024-05-10,1224,airBaltic + Lufthansa,05:35,06:55,1,1160,2,"RIX, MUC",VNO,HND,ANA (All Nippon Airways),05:35,06:55,0,1090,2,FRA,HND,VNO
2024-05-03,2024-05-10,1188,British Airways + Japan Airlines,10:10,13:50,1,1300,1,HEL,VNO,HND,Japan Airlines + Finnair,10:10,13:50,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,1169,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,1330,1,"OSA, HEL",HND,VNO
2024-05-03,2024-05-10,1199,Finnair + Japan Airlines,10:10,13:50,1,1300,1,HEL,VNO,HND,Finnair,10:10,13:50,1,1070,1,HEL,HND,VNO
2024-05-03,2024-05-10,1339,Turkish Airlines,20:35,19:20,1,1005,1,IST,VNO,HND,Turkish Airlines,20:35,19:20,1,1125,1,IST,HND,VNO
2024-05-03,2024-05-10,1281,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,0,1125,1,HEL,HND,VNO
2024-05-03,2024-05-10,1251,LOT + Lufthansa,06:20,08:10,1,1190,2,"WAW, FRA",VNO,HND,ANA (All Nippon Airways),06:20,08:10,0,1090,2,FRA,HND,VNO
2024-05-03,2024-05-10,1393,Finnair + Japan Airlines,13:30,13:05,1,1055,1,HEL,VNO,NRT,Japan Airlines + Finnair,13:30,13:05,1,995,1,HEL,NRT,VNO
2024-05-03,2024-05-10,1286,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,0,1125,1,HEL,HND,VNO
2024-05-03,2024-05-10,1245,Finnair,13:30,16:00,1,1230,2,"HEL, FRA",VNO,NRT,Finnair,13:30,16:00,1,1070,2,HEL,HND,VNO
