,Outbound Flight Date,Return Flight Date,"Price, €",Outbound Flight Airlines,Outbound Flight Departure Time,Outbound Flight Arrival Time,Outbound Flight Arrival + Days,Outbound Flight Duration,Outbound Flight Stops,Outbound Flight Connecting Airports,Outbound Flight Departure Airport,Outbound Flight Arrival Airport,Return Flight Airlines,Return Flight Departure Time,Return Flight Arrival Time,Return Flight Arrival + Days,Return Flight Duration,Return Flight Stops,Return Flight Connecting Airports,Return Flight Departure Airport,Return Flight Arrival Airport,"Outbound Flight Duration, min","Return Flight Duration, min"
0,2024-05-03,2024-05-10,813,Turkish Airlines,20:35,07:55,2,29h 20,2,"IST, KIX",VNO,HND,Turkish Airlines,20:35,07:55,1,27h 20,2,"KIX, IST",HND,VNO,1760,1640
1,2024-05-03,2024-05-10,931,Scandinavian Airlines,21:50,07:55,2,28h 05,2,"ARN, CPH",VNO,HND,Scandinavian Airlines,21:50,07:55,0,17h 50,1,CPH,HND,VNO,1685,1070
2,2024-05-03,2024-05-10,813,Turkish Airlines,20:35,08:10,2,29h 35,2,"IST, KIX",VNO,HND,ANA (All Nippon Airways) + Turkish Airlines,20:35,08:10,1,22h 35,2,"KIX, IST",HND,VNO,1775,1355
3,2024-05-03,2024-05-10,912,Scandinavian Airlines,17:45,07:55,2,32h 10,2,"ARN, CPH",VNO,HND,Scandinavian Airlines,17:45,07:55,0,17h 50,1,CPH,HND,VNO,1930,1070
4,2024-05-03,2024-05-10,1181,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Finnair,13:30,13:50,1,17h 50,1,HEL,HND,VNO,1100,1070
5,2024-05-03,2024-05-10,1261,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Finnair,13:30,13:50,1,16h 35,1,HEL,NRT,VNO,1100,995
6,2024-05-03,2024-05-10,1266,Finnair,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,Finnair,13:30,13:05,1,17h 50,1,HEL,HND,VNO,1055,1070
7,2024-05-03,2024-05-10,970,Turkish Airlines,20:35,07:55,2,29h 20,2,"IST, KIX",VNO,HND,Turkish Airlines,20:35,07:55,1,18h 45,1,IST,HND,VNO,1760,1125
8,2024-05-03,2024-05-10,1216,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Finnair,13:30,13:50,0,18h 45,1,HEL,HND,VNO,1100,1125
9,2024-05-03,2024-05-10,1181,Finnair,10:10,13:50,1,21h 40,1,HEL,VNO,HND,Finnair,10:10,13:50,1,17h 50,1,HEL,HND,VNO,1300,1070
10,2024-05-03,2024-05-10,1211,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Finnair,13:30,13:50,1,19h 55,1,HEL,NRT,VNO,1100,1195
11,2024-05-03,2024-05-10,861,Turkish Airlines,20:35,07:55,2,29h 20,2,"IST, KIX",VNO,HND,ANA (All Nippon Airways) + Turkish Airlines,20:35,07:55,1,22h 35,2,"KIX, IST",HND,VNO,1760,1355
12,2024-05-03,2024-05-10,1253,LOT,19:15,18:30,1,17h 15,1,WAW,VNO,NRT,LOT,19:15,18:30,1,18h 20,1,WAW,NRT,VNO,1035,1100
13,2024-05-03,2024-05-10,1346,Finnair,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,Finnair,13:30,13:05,1,16h 35,1,HEL,NRT,VNO,1055,995
14,2024-05-03,2024-05-10,1188,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,1,17h 50,1,HEL,HND,VNO,1105,1070
15,2024-05-03,2024-05-10,1208,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Finnair,13:30,13:55,1,17h 50,1,HEL,HND,VNO,1105,1070
16,2024-05-03,2024-05-10,1217,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,17h 50,1,HEL,HND,VNO,1100,1070
17,2024-05-03,2024-05-10,1276,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,1,16h 35,1,HEL,NRT,VNO,1105,995
18,2024-05-03,2024-05-10,1296,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,16h 35,1,HEL,NRT,VNO,1100,995
19,2024-05-03,2024-05-10,1199,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,1,19h 55,1,HEL,NRT,VNO,1105,1195
20,2024-05-03,2024-05-10,1297,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Finnair,13:30,13:55,1,16h 35,1,HEL,NRT,VNO,1105,995
21,2024-05-03,2024-05-10,1319,Finnair + Japan Airlines,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,Japan Airlines + Finnair,13:30,13:05,1,17h 50,1,HEL,HND,VNO,1055,1070
22,2024-05-03,2024-05-10,1260,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,0,18h 45,1,HEL,HND,VNO,1105,1125
23,2024-05-03,2024-05-10,1179,Turkish Airlines,20:35,19:20,1,16h 45,1,IST,VNO,HND,ANA (All Nippon Airways) + Turkish Airlines,20:35,19:20,1,22h 35,2,"KIX, IST",HND,VNO,1005,1355
24,2024-05-03,2024-05-10,1191,British Airways + Japan Airlines,10:10,13:55,1,21h 45,1,HEL,VNO,HND,Japan Airlines + Finnair,10:10,13:55,1,17h 50,1,HEL,HND,VNO,1305,1070
25,2024-05-03,2024-05-10,1290,LOT + Asiana Airlines,11:00,11:20,1,18h 20,2,"WAW, ICN",VNO,NRT,LOT,11:00,11:20,1,18h 20,1,WAW,NRT,VNO,1100,1100
26,2024-05-03,2024-05-10,1339,Turkish Airlines,20:35,19:20,1,16h 45,1,IST,VNO,HND,Turkish Airlines,20:35,19:20,1,18h 45,1,IST,HND,VNO,1005,1125
27,2024-05-03,2024-05-10,1251,LOT + Lufthansa,06:20,08:10,1,19h 50,2,"WAW, FRA",VNO,HND,ANA (All Nippon Airways),06:20,08:10,0,18h 10,1,FRA,HND,VNO,1190,1090
28,2024-05-03,2024-05-10,1247,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,19h 55,1,HEL,NRT,VNO,1100,1195
29,2024-05-03,2024-05-10,1245,Finnair,13:30,16:00,1,20h 30,2,"HEL, FRA",VNO,NRT,Finnair,13:30,16:00,1,17h 50,1,HEL,HND,VNO,1230,1070
30,2024-05-03,2024-05-10,1251,LOT + Lufthansa,14:45,16:45,1,20h,2,"WAW, FRA",VNO,HND,ANA (All Nippon Airways),14:45,16:45,0,18h 10,1,FRA,HND,VNO,1200,1090
31,2024-05-03,2024-05-10,1398,Finnair + Japan Airlines,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,Japan Airlines + Finnair,13:30,13:05,1,16h 35,1,HEL,NRT,VNO,1055,995
32,2024-05-03,2024-05-10,1286,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Finnair,13:30,13:55,0,18h 45,1,HEL,HND,VNO,1105,1125
33,2024-05-03,2024-05-10,1249,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Finnair,13:30,13:55,1,19h 55,1,HEL,NRT,VNO,1105,1195
34,2024-05-03,2024-05-10,1310,LOT + ANA (All Nippon Airways),11:00,11:20,1,18h 20,2,"WAW, ICN",VNO,NRT,LOT,11:00,11:20,1,18h 20,1,WAW,NRT,VNO,1100,1100
35,2024-05-03,2024-05-10,1214,British Airways + Japan Airlines,10:10,13:55,1,21h 45,1,HEL,VNO,HND,Finnair,10:10,13:55,1,17h 50,1,HEL,HND,VNO,1305,1070
36,2024-05-03,2024-05-10,1186,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,22h 10,2,"OSA, HEL",HND,VNO,1100,1330
37,2024-05-03,2024-05-10,1184,Finnair + Japan Airlines,13:30,13:55,1,18h 25,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,1,22h 10,2,"OSA, HEL",HND,VNO,1105,1330
38,2024-05-03,2024-05-10,1296,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,0,18h 45,1,HEL,HND,VNO,1100,1125
39,2024-05-03,2024-05-10,1331,Finnair + Japan Airlines,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Finnair,13:30,13:50,1,17h 50,1,HEL,HND,VNO,1100,1070
40,2024-05-03,2024-05-10,811,Turkish Airlines,20:35,07:55,2,29h 20,2,"IST, KIX",VNO,HND,Turkish Airlines,20:35,07:55,1,30h 05,1,IST,NRT,VNO,1760,1805
41,2024-05-03,2024-05-10,1411,Finnair + Japan Airlines,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,Finnair,13:30,13:05,1,16h 35,1,HEL,NRT,VNO,1055,995
42,2024-05-03,2024-05-10,1261,Finnair,10:10,13:50,1,21h 40,1,HEL,VNO,HND,Finnair,10:10,13:50,1,16h 35,1,HEL,NRT,VNO,1300,995
43,2024-05-03,2024-05-10,1219,Finnair + Japan Airlines,10:10,13:55,1,21h 45,1,HEL,VNO,HND,Finnair,10:10,13:55,1,17h 50,1,HEL,HND,VNO,1305,1070
44,2024-05-03,2024-05-10,1316,LOT + Lufthansa,06:20,06:55,1,18h 35,2,"WAW, MUC",VNO,HND,ANA (All Nippon Airways),06:20,06:55,0,18h 10,1,FRA,HND,VNO,1115,1090
45,2024-05-03,2024-05-10,1339,Finnair + Japan Airlines,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,17h 50,1,HEL,HND,VNO,1100,1070
46,2024-05-03,2024-05-10,1228,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,21h 10,2,"KIX, HEL",NRT,VNO,1100,1270
