,Outbound Flight Date,Return Flight Date,"Price, €",Outbound Flight Airlines,Outbound Flight Departure Time,Outbound Flight Arrival Time,Outbound Flight Arrival + Days,"Outbound Flight Duration, min",Outbound Flight Stops,Outbound Flight Connecting Airports,Outbound Flight Departure Airport,Outbound Flight Arrival Airport,Return Flight Airlines,Return Flight Departure Time,Return Flight Arrival Time,Return Flight Arrival + Days,"Return Flight Duration, min",Return Flight Stops,Return Flight Connecting Airports,Return Flight Departure Airport,Return Flight Arrival Airport
0,2024-05-03,2024-05-10,813,Turkish Airlines,20:35,07:55,2,1760,2,"IST, KIX",VNO,HND,Turkish Airlines,20:35,07:55,1,1640,2,"KIX, IST",HND,VNO
1,2024-05-03,2024-05-10,931,Scandinavian Airlines,21:50,07:55,2,1685,2,"ARN, CPH",VNO,HND,Scandinavian Airlines,21:50,07:55,0,1070,1,CPH,HND,VNO
2,2024-05-03,2024-05-10,813,Turkish Airlines,20:35,08:10,2,1775,2,"IST, KIX",VNO,HND,ANA (All Nippon Airways) + Turkish Airlines,20:35,08:10,1,1355,2,"KIX, IST",HND,VNO
3,2024-05-03,2024-05-10,912,Scandinavian Airlines,17:45,07:55,2,1930,2,"ARN, CPH",VNO,HND,Scandinavian Airlines,17:45,07:55,0,1070,1,CPH,HND,VNO
4,2024-05-03,2024-05-10,1181,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,1070,1,HEL,HND,VNO
5,2024-05-03,2024-05-10,1261,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,995,1,HEL,NRT,VNO
6,2024-05-03,2024-05-10,1266,Finnair,13:30,13:05,1,1055,1,HEL,VNO,NRT,Finnair,13:30,13:05,1,1070,1,HEL,HND,VNO
7,2024-05-03,2024-05-10,970,Turkish Airlines,20:35,07:55,2,1760,2,"IST, KIX",VNO,HND,Turkish Airlines,20:35,07:55,1,1125,1,IST,HND,VNO
8,2024-05-03,2024-05-10,1216,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,0,1125,1,HEL,HND,VNO
9,2024-05-03,2024-05-10,1181,Finnair,10:10,13:50,1,1300,1,HEL,VNO,HND,Finnair,10:10,13:50,1,1070,1,HEL,HND,VNO
10,2024-05-03,2024-05-10,1211,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,1195,1,HEL,NRT,VNO
11,2024-05-03,2024-05-10,861,Turkish Airlines,20:35,07:55,2,1760,2,"IST, KIX",VNO,HND,ANA (All Nippon Airways) + Turkish Airlines,20:35,07:55,1,1355,2,"KIX, IST",HND,VNO
12,2024-05-03,2024-05-10,1253,LOT,19:15,18:30,1,1035,1,WAW,VNO,NRT,LOT,19:15,18:30,1,1100,1,WAW,NRT,VNO
13,2024-05-03,2024-05-10,1346,Finnair,13:30,13:05,1,1055,1,HEL,VNO,NRT,Finnair,13:30,13:05,1,995,1,HEL,NRT,VNO
14,2024-05-03,2024-05-10,1188,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,1,1070,1,HEL,HND,VNO
15,2024-05-03,2024-05-10,1208,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Finnair,13:30,13:55,1,1070,1,HEL,HND,VNO
16,2024-05-03,2024-05-10,1217,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,1070,1,HEL,HND,VNO
17,2024-05-03,2024-05-10,1276,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,1,995,1,HEL,NRT,VNO
18,2024-05-03,2024-05-10,1296,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,995,1,HEL,NRT,VNO
19,2024-05-03,2024-05-10,1199,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,1,1195,1,HEL,NRT,VNO
20,2024-05-03,2024-05-10,1297,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Finnair,13:30,13:55,1,995,1,HEL,NRT,VNO
21,2024-05-03,2024-05-10,1319,Finnair + Japan Airlines,13:30,13:05,1,1055,1,HEL,VNO,NRT,Japan Airlines + Finnair,13:30,13:05,1,1070,1,HEL,HND,VNO
22,2024-05-03,2024-05-10,1260,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,0,1125,1,HEL,HND,VNO
23,2024-05-03,2024-05-10,1179,Turkish Airlines,20:35,19:20,1,1005,1,IST,VNO,HND,ANA (All Nippon Airways) + Turkish Airlines,20:35,19:20,1,1355,2,"KIX, IST",HND,VNO
24,2024-05-03,2024-05-10,1191,British Airways + Japan Airlines,10:10,13:55,1,1305,1,HEL,VNO,HND,Japan Airlines + Finnair,10:10,13:55,1,1070,1,HEL,HND,VNO
25,2024-05-03,2024-05-10,1290,LOT + Asiana Airlines,11:00,11:20,1,1100,2,"WAW, ICN",VNO,NRT,LOT,11:00,11:20,1,1100,1,WAW,NRT,VNO
26,2024-05-03,2024-05-10,1339,Turkish Airlines,20:35,19:20,1,1005,1,IST,VNO,HND,Turkish Airlines,20:35,19:20,1,1125,1,IST,HND,VNO
27,2024-05-03,2024-05-10,1251,LOT + Lufthansa,06:20,08:10,1,1190,2,"WAW, FRA",VNO,HND,ANA (All Nippon Airways),06:20,08:10,0,1090,1,FRA,HND,VNO
28,2024-05-03,2024-05-10,1247,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,1195,1,HEL,NRT,VNO
29,2024-05-03,2024-05-10,1245,Finnair,13:30,16:00,1,1230,2,"HEL, FRA",VNO,NRT,Finnair,13:30,16:00,1,1070,1,HEL,HND,VNO
30,2024-05-03,2024-05-10,1251,LOT + Lufthansa,14:45,16:45,1,1200,2,"WAW, FRA",VNO,HND,ANA (All Nippon Airways),14:45,16:45,0,1090,1,FRA,HND,VNO
31,2024-05-03,2024-05-10,1398,Finnair + Japan Airlines,13:30,13:05,1,1055,1,HEL,VNO,NRT,Japan Airlines + Finnair,13:30,13:05,1,995,1,HEL,NRT,VNO
32,2024-05-03,2024-05-10,1286,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Finnair,13:30,13:55,0,1125,1,HEL,HND,VNO
33,2024-05-03,2024-05-10,1249,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Finnair,13:30,13:55,1,1195,1,HEL,NRT,VNO
34,2024-05-03,2024-05-10,1310,LOT + ANA (All Nippon Airways),11:00,11:20,1,1100,2,"WAW, ICN",VNO,NRT,LOT,11:00,11:20,1,1100,1,WAW,NRT,VNO
35,2024-05-03,2024-05-10,1214,British Airways + Japan Airlines,10:10,13:55,1,1305,1,HEL,VNO,HND,Finnair,10:10,13:55,1,1070,1,HEL,HND,VNO
36,2024-05-03,2024-05-10,1186,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,1,1330,2,"OSA, HEL",HND,VNO
37,2024-05-03,2024-05-10,1184,Finnair + Japan Airlines,13:30,13:55,1,1105,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:55,1,1330,2,"OSA, HEL",HND,VNO
38,2024-05-03,2024-05-10,1296,Finnair,13:30,13:50,1,1100,1,HEL,VNO,HND,Japan Airlines + Finnair,13:30,13:50,0,1125,1,HEL,HND,VNO
39,2024-05-03,2024-05-10,1331,Finnair + Japan Airlines,13:30,13:50,1,1100,1,HEL,VNO,HND,Finnair,13:30,13:50,1,1070,1,HEL,HND,VNO
40,2024-05-03,2024-05-10,811,Turkish Airlines,20:35,07:55,2,1760,2,"IST, KIX",VNO,HND,Turkish Airlines,20:35,07:55,1,1805,1,IST,NRT,VNO
41,2024-05-03,2024-05-10,1411,Finnair + Japan Airlines,13:30,13:05,1,1055,1,HEL,VNO,NRT,Finnair,13:30,13:05,1,995,1,HEL,NRT,VNO
42,2024-05-03,2024-05-10,1261,Finnair,10:10,13:50,1,1300,1,HEL,VNO,HND,Finnair,10:10,13:50,1,995,1,HEL,NRT,VNO
43,2024-05-03,2024-05-10,1219,Finnair + Japan Airlines,10:10,13:55,1,1305,1,HEL,VNO,HND,Finnair,10:10,13:55,1,1070,1,HEL,HND,VNO
